"Site Number","Name","Town","Description","Street Address","Status","Start Date","Stop Date","Parameters Measured","Location Accuracy","Latitude","Longitude"
230051007,"WESTBROOK","WESTBROOK"," ","POLICE DEPT.-419 WARREN AVE.","I",01/01/1980,," "," ",-70.3519,43.6813
230195004,"OLD TOWN","OLD TOWN"," ","WOODLANDS GARAGE - OLD TOWN MILL","I",12/07/1990,," "," ",-68.6502,44.91507
230050021,"SOUTH PORTLAND","SOUTH PORTLAND"," ","100 MAINE MALL RD  S. PORTLAND ME 04106","I",05/22/1989,," "," ",-70.33282,43.62563
230130003,"ISLE AU HAUT","ISLE AU HAUT"," ","ISLE AU HAUT FIRE STATION","I",01/01/1986,11/01/1994," "," ",-68.63169,44.07675
230191002,"BREWER","BREWER","ROOF OF BREWER JUNIOR HIGH BUILDING. SITE SHUT DOWN 12/94","JUNIOR HIGH SCH-SOMERSET ST.","I",01/01/1980,12/31/1994," "," ",-68.75947,44.79201
230031018,"EASTON","EASTON","EASTON MCCAIN FOODS SPECIAL PURPOSE SITE","RICHARDSON ROAD EASTON","I",10/01/2001,," ","WITHIN 100M",-67.9029,46.66356
230230006,"BOWDOINHAM","BOWDOINHAM","MERRYMEETING BAY","BROWN'S POINT RD","I",05/01/2008,10/01/2015,"O3","WITHIN 5M",-69.82778,44.005
230312003,"SHAPLEIGH","SHAPLEIGH"," ","DEERING RIDGE RD SHAPLEIGH MAINE","I",05/16/1988,09/19/1988," "," ",-70.84082,43.47782
230192002,"EAST MILLINOCKET","EAST MILLINOCKET"," ","KATAHDIN SCHOOL-BIRCH STREET","I",01/01/1979,," "," ",-68.56905,45.63265
230290003,"BAILEYVILLE","BAILEYVILLE"," ","ROUTE 1, WOODLAND, MAINE","I",01/01/1976,," "," ",-67.39048,45.14237
230194006,"MILFORD","MILFORD"," ","NDB FRENCH SETTLEMENT ROAD","I",04/10/1990,," "," ",-68.63446,45.00567
230110012,"AUGUSTA","AUGUSTA"," ","CORNER OF NORTHING AVE. AND WASHINGTON S","I",01/01/1984,," "," ",-69.77363,44.32358
230059001,"YARMOUTH","YARMOUTH"," ","W.F. WYMAN STA.-COUSINS IS.","I",01/01/1973,," "," ",-70.15073,43.74923
230112005,"GARDINER","GARDINER"," ","PRAY STREET SCHOOL","A",04/01/1991,,"O3","WITHIN 5M",-69.785,44.23062
4,"THOMASTON - MM","THOMASTON","MIDAS MUFFLER","ROUTE 1","A",06/21/2007,,"TSP","WITHIN 5M",-69.14445,44.09235
239010001,"PORTLAND","PORTLAND","MS SCOTIA PRINCE FERRY FROM PORTLAND ME TO YARMOUTH NOVA SCOTIA &RET","SCOTIA PRINCE DOCKED","I",06/01/1992,," ","GPS",-70.25783,43.64645
230194005,"NEWBURGH","NEWBURGH"," ","NEWBURGH CONSOLIDATED SCHOOL, NEWBURGH","I",01/01/1979,," "," ",-68.98054,44.7324
230013001,"LISBON","LISBON"," ","BOWDOINHAM ROAD (ROUTE 125)","I",04/23/1988,," "," ",-70.03148,44.03818
230193003,"MILLINOCKET","MILLINOCKET"," ","FAA RAD. BEACON-RICE FARM RD","I",01/01/1977,," "," ",-68.70271,45.65385
230191100,"INDIAN ISLAND","INDIAN ISLAND","PENOBSCOT INDIAN NATION","27 WABANAKI WAY","I",01/01/2003,01/01/2018,"O3","WITHIN 5M",-68.64768,44.95204
230030012,"MADAWASKA","MADAWASKA"," ","U.S.POST OFFICE, 430 EAST MAIN STREET","I",07/24/1985,," "," ",-68.31361,47.35464
230230001,"BATH","BATH"," ","MUNICIPAL BLDG.-55 FRONT ST.","I",01/01/1978,," "," ",-69.81283,43.91091
230051008,"WESTBROOK","WESTBROOK"," ","RESEARCH BUILDING-WARREN AVE","I",01/01/1980,," "," ",-70.34887,43.67908
230132003,"THOMASTON","THOMASTON"," ","SANDERS PROP-OLD COUNTRY RD","I",01/01/1979,07/01/1988," "," ",-69.16687,44.08948
230310002,"BIDDEFORD","BIDDEFORD"," ","TREATMENT PLANT-WATER ST.","I",01/01/1981,," "," ",-70.44703,43.49215
230031009,"PRESQUE ISLE","PRESQUE ISLE"," ","CITY DRY CLEANERS, 636 MAIN STREET","I",01/01/1985,," "," ",-68.01336,46.68588
230172006,"RUMFORD","RUMFORD"," ","TAYLOR MOUNTAIN-2","I",01/01/1983,05/02/1995," "," ",-70.53669,44.54128
230170008,"MEXICO","MEXICO"," ","LABONVILLE'S-ROUTE#2","I",01/01/1981,," ","WITHIN 10M",-70.53106,44.54842
230010001,"AUBURN","AUBURN"," ","MUTUAL BANK-GR. FALLS PLAZA","I",01/01/1976,," "," ",-70.22381,44.09789
230090301,"CASTINE","CASTINE","OZONE AND METEOROLOGY MONITORING STARTED AUGUST 2001.","CASTINE MUNICIPAL GARAGE","I",08/23/2001,," "," ",-68.805,44.42269
230191010,"LINCOLN","LINCOLN"," ","LINCOLN AIRPORT-AIRPORT ROAD","I",01/01/1984,," "," ",-68.53342,45.36327
3,"BARING - MWR","BARING","MOOSEHORN IMPROVE SITE","MOOSEHORN NATIONAL WILDLIFE REFUGE","A",01/01/1997,,"SPEC. PARTICULATES","WITHIN 5M",-67.25788,45.12773
230314001,"SACO","SACO"," ","FIRE STATION-14 THORNTON AVE","I",01/01/1977,," "," ",-70.44665,43.49913
230030008,"MADAWASKA","MADAWASKA"," ","TUFF-KOTE SHOP, ELEVENTH AVENUE, MADAWAS","I",01/01/1979,," "," ",-68.33061,47.35226
230050025,"PORTLAND","PORTLAND","MONITOR LOCATED ON ROOF OF CUMBERLAND COUNTY JAIL","COUNTY WAY, PORTLAND, MAINE","I",01/01/1996,," "," ",-70.28247,43.65207
230036001,"T12R8","T12R8"," ","BALD MOUNTAIN PROJECT","I",10/03/1990,11/01/1991," "," ",-68.73644,46.72891
230310038,"WEST BUXTON","HOLLIS","2 1/2 MILES WEST OF WEST BUXTON ON PLAINS ROAD","PLAINS ROAD, HOLLIS","A",04/01/1999,,"O3","WITHIN 5M",-70.62914,43.65676
230173001,"NORTH LOVELL","NORTH LOVELL"," ","ROUTE 5, NORTH LOVELL DOT","I",05/06/1992,10/01/2015,"O3","WITHIN 5M",-70.86061,44.25092
230314753,"ISLE OF SHOALS","ISLE OF SHOALS"," ","APPLEDORE ISLAND-ISLE OF SHOALS","I",07/16/1991,," "," ",-70.61508,42.98692
230090201,"ELLSWORTH","ELLSWORTH","COASTAL CARPET BUILDING_PM10 SAMPLING TERMINATED APRIL 1998","21 WATER ST ELLSWORTH ME","I",03/14/1995,," "," ",-68.4328,44.54036
230031019,"VAN BUREN","VAN BUREN","DOT LOT","16 MAIN STREET","I",10/01/2007,02/02/2011,"PM10","WITHIN 5M",-67.92969,47.15354
230194012,"ORRINGTON","ORRINGTON","HOLTRACHEM MET SITE - ORRINGTON MAINE","MET - RT. 15 ORRINGTON","I",10/01/1998,," "," ",-68.82407,44.7422
230313001,"KITTERY","KITTERY"," ","GREENFIELD STREET, KITTERY, MAINE","I",01/01/1982,," "," ",-70.7479,43.1146
230090001,"SEAWALL","SEAWALL"," ","SEAWALL-RANGER GARAGE","I",01/01/1959,," "," ",-68.30594,44.2393
230171007,"SOUTH PARIS","SOUTH PARIS"," ","SO PARIS WASTE WATER TREATMENT PLANT","I",01/01/1985,," "," ",-70.5178,44.21095
230192005,"MILLINOCKET","MILLINOCKET"," ","GRANITE STREET SCHOOL","I",01/01/1977,," "," ",-68.70449,45.65254
230040002,"RCIP","CAMPOBELLO","RCIP","ROOSEVELT PARK-CAMPOBELLO IS","I",,," "," ",-66.95764,44.87733
230130008,"ROCKLAND","ROCKLAND"," ","HIGHWAY COMMISSION-RANKIN ST.","I",01/01/1978,," "," ",-69.11945,44.11295
230190005,"BANGOR","BANGOR"," ","BANGOR DAILY NEWS, 491 MAIN STREET, BANG","I",01/01/1977,," "," ",-68.7775,44.78981
230111001,"FAIRFIELD","FAIRFIELD"," ","POST OFFICE-MAIN ST.","I",01/01/1981,," "," ",-69.59407,44.58591
230290018,"BAILEYVILLE","BAILEYVILLE","BACKGROUND PM10 SITE_PIPELINE WEST OF US ROUTE 1","PIPLELINE WEST OF RT. 1 - WOODLAND","I",01/01/1987,," "," ",-67.4,45.14396
230011001,"LEWISTON","LEWISTON"," ","MOUNT HOPE AVENUE, LEWISTON, MAINE","I",01/01/1973,," "," ",-70.20204,44.07157
230194010,"HAMPDEN","HAMPDEN","MAIN ROAD NORTH -HAMPDEN MERCURY VAPOR SAMPLING","ROUTE 1A - HAMPDEN","I",10/01/1998,," "," ",-68.82919,44.75164
230190004,"BANGOR","BANGOR"," ","AIRPORT-DOMESTIC TERMINAL","I",01/01/1977,," "," ",-68.81853,44.80788
230110002,"AUGUSTA","AUGUSTA"," ","VICKERY HILL BLDG.-CHAPEL ST","I",01/01/1975,," "," ",-69.77694,44.31743
230131004,"ROCKLAND","ROCKLAND"," ","COAST GUARD STA-TILLSON AVE.","I",01/01/1978,," "," ",-69.10194,44.10397
230310006,"SACO","SACO"," ","SACO ISLAND - CMP","I",01/01/1990,," "," ",-70.45153,43.49648
230191005,"LINCOLN","LINCOLN"," ","YOSTS PROP.-EASTERN AVENUE","I",01/01/1980,," "," ",-68.51182,45.36599
230010008,"AUBURN","AUBURN"," ","LEPAGE BAKERY-60 SECOND ST","I",01/01/1980,," "," ",-70.2211,44.08757
230190001,"BANGOR","BANGOR","NEPHELOMETER UNDER ROOF ON OFFICE","BANGOR OFFICE-31 CENTRAL ST.","I",03/17/1973,," "," ",-68.77114,44.80174
230170006,"MEXICO","MEXICO"," ","CARTER'S-93 HARLOW HILL RD.","I",01/01/1979,," "," ",-70.53312,44.5587
230050001,"BRIDGTON","BRIDGTON"," ","FIRE STA.-RT#37-NO. BRIDGTON","I",01/01/1978,," "," ",-70.69717,44.10422
230050002,"BRIDGTON","BRIDGTON"," ","UPPER RIDGE ROAD, ROUTE #2","A",01/01/1980,,"ATMOSPHERIC DEP., MERCURY DEP., PRECIP., SPEC. PARTICULATES","WITHIN 5M",-70.72901,44.10741
230193009,"WINN","WINN"," ","HOMGAS-ROUTE #2-WINN","I",01/01/1980,," "," ",-68.40232,45.46111
230110005,"AUGUSTA","AUGUSTA"," ","FIRE HOUSE-HARTFORD SQUARE","I",01/01/1976,," "," ",-69.77555,44.31172
230290014,"EASTPORT","EASTPORT"," ","PARKERS-PLEASANT ST-EASTPORT","I",01/01/1980,," ","WITHIN 1000M",-66.98936,44.89878
230050007,"PORTLAND","PORTLAND"," ","RIVERTON SCH-1600 FOREST AVE","I",01/01/1976,," "," ",-70.30994,43.69718
230311003,"KITTERY","KITTERY"," ","MASONIC TEMPLE, GOVT. STREET, KITTERY, M","I",01/01/1983,," "," ",-70.74276,43.08592
230193004,"OLD TOWN","OLD TOWN"," ","SEWAGE T.P.-CONGRESS STREET","I",01/01/1979,," "," ",-68.64216,44.92359
230030010,"MADAWASKA","MADAWASKA"," ","TREATMENT PLANT-E. MAIN ST.","I",01/01/1979,," "," ",-68.29378,47.352
230090401,"SCHOODIC PT","WINTER HARBOR","SCHOODIC PT","MAINTENANCE ROAD","I",03/16/2003,," ","GPS",-68.06165,44.3354
230051011,"WESTBROOK","WESTBROOK"," ","PARK ROAD, WESTBROOK, MAINE","I",01/01/1981,," "," ",-70.35226,43.69183
230050027,"PORTLAND","PORTLAND","SHELTER IN PARKING LOT OF INTERSECTION OF MARGINAL WAY & PREBLE","26 MARGINAL WAY, PORTLAND","I",01/01/1999,," "," ",-70.26542,43.66191
230050029,"PORTLAND","PORTLAND","DEERING OAKS PARK AREA","356 STATE STREET","A",01/18/2008,,"PM2.5, SO2, CO, NO2, O3, HAPS","WITHIN 5M",-70.26896,43.66025
230030005,"MADAWASKA","MADAWASKA"," ","MOBIL LAB-40 RIVERVIEW ST.","I",01/01/1978,," "," ",-68.31422,47.35309
230132001,"THOMASTON","THOMASTON"," ","MITCHELL PROP.-2 DEXTER AVE","I",01/01/1978,," "," ",-69.14716,44.09649
230032003,"PRESQUE ISLE","PRESQUE ISLE"," ","P.I. HIGH SCHOOL-FORT ST.","I",01/01/1978,," "," ",-68.00948,46.68503
230192006,"MILLINOCKET","MILLINOCKET"," ","GNP-WASTEWATER TREATMENT PLANT","I",01/01/1977,," "," ",-68.68867,45.6399
230011002,"LEWISTON","LEWISTON"," ","LEWISTON W.T.P.-MT HOPE AVE","I",01/01/1974,," "," ",-70.20586,44.07513
230031007,"PRESQUE ISLE","PRESQUE ISLE"," ","CREASEY RIDGE ROAD","I",01/01/1981,," "," ",-68.07604,46.69894
230251002,"MADISON","MADISON"," ","CORO PROPERTY-PINE STREET","I",01/01/1981,," "," ",-69.88516,44.79
230030009,"MADAWASKA","MADAWASKA"," ","PORTABLE SHELTER-ALBERT ST.","I",01/01/1979,," "," ",-68.30305,47.35161
230250002,"FAIRFIELD","FAIRFIELD"," ","NUTTING RESIDENCE, COTTAGE STREET","I",01/01/1984,," "," ",-69.61038,44.57907
230190006,"BANGOR","BANGOR"," ","BANGOR A.A.-42 MAIN STREET","I",01/01/1977,," "," ",-68.77189,44.80024
230190009,"BANGOR","BANGOR"," ","AIRPORT NATIONAL GUARD BLDG 487","I",07/16/1979,," "," ",-68.81848,44.81216
230190012,"MILLINOCKET","MILLINOCKET"," ","SPRUCE STREET, MILLINOCKET, MAINE","I",01/01/1978,," "," ",-68.71588,45.65365
230070002,"JAY","JAY"," ","IP-ANDROSCOGGIN MILL, JAY","I",01/01/1979,," "," ",-70.2285,44.50342
230053001,"CUMBERLAND","CUMBERLAND"," ","COTTAGE RD.-GR. CHEBEAGUE IS.","I",01/01/1980,," "," ",-70.13431,43.72166
230192010,"MILLINOCKET","MILLINOCKET"," ","WESTWOOD STREET-MILLINOCKET","I",01/01/1977,," "," ",-68.6942,45.6606
230270005,"UNITY","UNITY"," ","UNITY COLLEGE","I",01/01/1985,," "," ",-69.33184,44.6039
230195002,"OLD TOWN","OLD TOWN"," ","D.I. CORP.-KRAFT DRYER BUILDING","I",01/01/1978,," "," ",-68.63624,44.91772
230052001,"CAPE ELIZABETH","CAPE ELIZABETH"," ","TWO LIGHTS STATE PARK","I",01/01/1977,," "," ",-70.19936,43.56613
230111004,"WATERVILLE","WATERVILLE"," ","FRONT STREET MUNICIPAL PARKING LOT","I",12/07/1989,01/04/1994," "," ",-69.62837,44.5491
230110013,"AUGUSTA","AUGUSTA"," ","(AIR) INDIAN RIDGE","I",01/01/1987,," "," ",-69.7542,44.30408
230110014,"AUGUSTA","AUGUSTA"," ","RINES HILL PARKING LOT","I",03/01/1991,," "," ",-69.77476,44.31266
6,"BALD MTN","PUKAKON TWP","BALD MOUNTAIN","WOLAPOMOMQOT CIW WOCUK","I",06/12/2002,," ","WITHIN 30M",-67.9983,45.3453
230230002,"BATH","BATH"," ","COAL POCKET SITE, FRONT ST. BATH","I",09/13/1990,," "," ",-69.81342,43.91609
230290019,"JONESPORT","JONESPORT"," ","JONESPORT - PUBLIC LANDING","A",05/19/1989,,"O3","WITHIN 5M",-67.59588,44.53185
230170001,"MEXICO","MEXICO"," ","GLEN'S SHELL STA.-RT. #2","I",01/01/1974,," "," ",-70.46444,44.53125
230194002,"MILLINOCKET","MILLINOCKET"," ","AIRPORT-MEDWAY ROAD","I",01/01/1975,," "," ",-68.69149,45.64834
230130010,"ROCKLAND","ROCKLAND"," ","TREATMENT PLANT-TILLSON AVE.","I",01/01/1979,," "," ",-69.10819,44.10396
230130001,"OWLS HEAD","OWL'S HEAD"," ","BOSSE PROP-RT. 32-OWL'S HEAD","I",01/01/1978,01/01/1980," "," ",-69.09191,44.08507
230130012,"ROCKLAND","ROCKLAND"," ","PARK STREET WAREHOUSE","I",01/01/1982,," "," ",-69.10068,44.10127
230112007,"AUGUSTA","AUGUSTA"," ","RESPONSE SERVICES BLDG DEP AMHI GROUNDS","I",05/01/1991,," "," ",-69.7714,44.29924
230190007,"BANGOR","BANGOR"," ","WEBBER OIL CO.-700 MAIN ST.","I",01/01/1977,," "," ",-68.78104,44.78171
230052003,"CAPE ELIZABETH","CAPE ELIZABETH","TWO LIGHTS STATE PARK, NEAR THE OBSERVATION TOWER","TWO LIGHTS STATE PARK","A",01/01/1981,,"O3, NOY, VOC'S, WS/WD, TEMP, SOLAR, BP, UVB, RH","WITHIN 5M",-70.20732,43.56104
230270004,"THORNDIKE","THORNDIKE"," ","TWEEDIE RESIDENCE-RT#139-THORNDIKE","I",01/01/1984,," "," ",-69.27407,44.57903
230191012,"LINCOLN","LINCOLN","SAMPLING FREQUENCY CHANGED 2/94. SITE LOCATED NEXT TO PENOBSCOT RIV.","PENOBSCOT RIVER / LINCOLN MILL","I",03/29/1990,01/01/1998," "," ",-68.51169,45.37506
230053003,"PORTLAND","PORTLAND"," ","LYSETH SCHOOL-PORTLAND","I",01/01/1972,," "," ",-70.28617,43.70702
230112004,"WINSLOW","WINSLOW"," ","WINSLOW/BOSTON AVE.","I",02/28/1990,," "," ",-69.62111,44.55156
230132004,"THOMASTON","THOMASTON"," ","PEASE PROP-BUTTERMILK LANE","I",01/01/1979,07/01/1988," "," ",-69.14436,44.08096
230050017,"PORTLAND","PORTLAND"," ","PERRY IRON WORKS-SOMERSET ST","I",01/01/1982,," "," ",-70.25908,43.66217
230193008,"WINN","WINN"," ","HYNE'S PROPERTY-RT. #2-WINN","I",01/01/1980,," "," ",-68.42081,45.44995
230013003,"LEWISTON","LEWISTON","ON COLUMBIA STREET NEAR INTERSECTION OF HOMEFIELD STREET","COLUMBIA STREET","I",11/27/1996,03/03/1997," "," ",-70.19316,44.09795
230290017,"BAILEYVILLE","BAILEYVILLE"," ","WOODYARD-NORTH OF MILL","I",02/01/1986,," "," ",-67.40822,45.16296
230130004,"PORT CLYDE","PORT CLYDE"," ","PORT CLYDE, MARSHALL POINT LIGHTHOUSE","A",05/01/1987,,"O3","WITHIN 5M",-69.2608,43.91795
230310037,"HOLLIS","HOLLIS","INSIDE UNUSED FIREHOUSE ON ROUTE 202/4","ROUTE 4,  SOUTH HOLLIS FIRE DEPARTMENT","I",04/09/1997,11/01/1998," "," ",-70.61616,43.59384
230290016,"ROQUE BLUFFS","ROQUE BLUFFS"," ","ROQUE BLUFFS-GREAT COVE","I",04/18/1984,," "," ",-67.50412,44.64403
230033002,"PRESQUE ISLE","PRESQUE ISLE"," ","PRESQUE ISLE OFF.-MAIN ST.","I",01/01/1975,," "," ",-67.99518,46.68611
230051009,"WESTBROOK","WESTBROOK"," ","S.D. WARREN CO.-MILL GROUNDS","I",01/16/1981,," "," ",-70.3466,43.68838
230110003,"AUGUSTA","AUGUSTA"," ","BANGOR STREET FIRE HOUSE","I",01/01/1976,," ","WITHIN 10M",-69.76438,44.32398
230198011,"HAMPDEN","HAMPDEN","WEATHERBEE SCHOOL IN HAMPDEN","WEATHERBEE ELEM SCH(HAMDEN)MAIN RD","I",11/01/1987,," "," ",-68.84142,44.74062
230050013,"PORTLAND","PORTLAND"," ","TREATMENT PLANT-MARGINAL WAY","I",01/01/1980,," "," ",-70.25285,43.67315
230050012,"PORTLAND","PORTLAND"," ","CONGRESS SQ-616 CONGRESS ST.","I",02/12/1980,," "," ",-70.26505,43.65342
230310001,"BERWICK","BERWICK"," ","SCHOOL STREET","I",01/01/1986,," "," ",-70.86366,43.26619
230050026,"FREEPORT","FREEPORT"," ","BURNETT ROAD, FREEPORT, ME","I",,," "," ",-70.05587,43.83517
230051013,"WESTBROOK","WESTBROOK"," ","165 DUCK POND RD.-WESTBROOK.","I",01/01/1982,," "," ",-70.33406,43.72184
230050018,"PORTLAND","PORTLAND"," ","529 CONGRESS STREET-PORTLAND","I",01/01/1984,," "," ",-70.26227,43.65559
230035001,"PRESQUE ISLE","PRESQUE ISLE"," ","NMVTI-SKYWAY INDUSTRIAL PARK","I",01/01/1975,," "," ",-68.03427,46.69409
230091005,"BUCKSPORT","BUCKSPORT"," ","WASTE DISPOSAL SITE, ROUTE 15","I",09/12/1987,," "," ",-68.80485,44.58595
230054002,"FREEPORT","FREEPORT"," ","CMP SUBSTATION, WEST STREET, FREEPORT, M","I",01/01/1980,," "," ",-70.11034,43.85515
230110006,"AUGUSTA","AUGUSTA"," ","DEERING BLDG.-AMHI GROUNDS","I",02/22/1977,," "," ",-69.76671,44.3022
230171006,"CANTON","CANTON"," ","KENNETT'S-COWHILL RD-CANTON","I",08/06/1981,," "," ",-70.24347,44.4677
230194009,"ORRINGTON","ORRINGTON","ROUTE 15 ORRINGTON, MAINE.  MERCURY VAPOR SAMPLING SITE","ROUTE 15 - ORRINGTON","I",10/01/1998,," "," ",-68.82076,44.7383
230057001,"SOUTH PORTLAND","SOUTH PORTLAND"," ","HIGH SCHOOL-637 HIGHLAND AVE","I",01/01/1970,," "," ",-70.26866,43.62203
230312001,"ELIOT","ELIOT"," ","FIRE STATION-ROUTE#103","I",01/01/1971,," "," ",-70.79425,43.12325
230270008,"SEARSPORT","SEARSPORT"," ","TURNPIKE RD","I",01/01/1988,," "," ",-68.88944,44.48479
230110011,"AUGUSTA","AUGUSTA"," ","NAP'S TRADING POST, 185 WATER STREET","I",01/01/1984,," "," ",-69.77461,44.32123
230194001,"MILLINOCKET","MILLINOCKET"," ","MUNC. BLDG.-PENOBSCOT AVE.","I",01/01/1973,," "," ",-68.70877,45.65676
230192013,"MILLINOCKET","MILLINOCKET"," ","MILLINOCET MILL STONE DAM ROAD","I",08/01/1989,," "," ",-68.71114,45.64389
230011004,"LEWISTON","LEWISTON"," ","FIRE STATION-114 BATES ST.","I",01/01/1975,," "," ",-70.21321,44.09891
230112001,"GARDINER","GARDINER"," ","GARDINER H.S.-WEST HILL ROAD","I",01/01/1980,," "," ",-69.78861,44.2267
230171004,"SOUTH PARIS","SOUTH PARIS"," ","REILLY PROPERTY, GARY STREET, SOUTH PARI","I",01/01/1978,," "," ",-70.52544,44.2158
230055002,"PORTLAND","PORTLAND"," ","MASONIC BLDG-415 CONGRESS ST","I",01/01/1968,," "," ",-70.25784,43.65896
230150002,"WESTPORT","WESTPORT"," ","WESTPORT ISLAND-FERRY ROAD","I",01/01/1984,," "," ",-69.69428,43.95244
230172010,"DIXFIELD","DIXFIELD","At ME DOT on Rt 2 near Dixfield Rd","Rt 2 at Maine Dept of Transportation","I",10/12/1995,," ","WITHIN 10M",-70.41229,44.51666
230031010,"PRESQUE ISLE","PRESQUE ISLE"," ","507 MAIN STREET PRESQUE ISLE","I",05/16/1988,06/30/1989," "," ",-68.01558,46.68198
7,"MEXICO","MEXICO","MOUNTAIN VALLEY MIDDLE SCHOOL - HIGHLAND TERRACE","MOUNTAIN VALLEY MIDDLE SCHOOL - HIGHLAND TERRACE","I",,," ","WITHIN 10M",-70.52742,44.55572
230291002,"BARING","BARING"," ","MOOSEHORN NAT. WILDLIFE REFUGE, BARING","I",01/01/1975,," "," ",-67.27814,45.11373
230031006,"PRESQUE ISLE","PRESQUE ISLE"," ","STEEGO AUTO PARTS-9 MAPLE ST.","I",01/01/1981,," "," ",-68.01499,46.67548
230031001,"CARIBOU","CARIBOU"," ","CARIBOU AIRPORT, 464 MAIN STREET, CARIBO","I",01/01/1980,," "," ",-68.01411,46.86761
230030004,"EASTON","EASTON"," ","PATTERSONS-STATION ROAD-EASTON","I",01/01/1981,," "," ",-67.91204,46.65844
230313002,"KITTERY","KITTERY","___________NO INFORMATION AT THIS TIME","FRISBEE SCHOOL, GOODSOE ROAD","I",06/01/1994,," ","WITHIN 100M",-70.73636,43.09735
230110015,"AUGUSTA","AUGUSTA"," ","DEP CENTRAL LAB, RAY BLDG., HOSPITAL ST.","I",01/01/1980,," ","WITHIN 10M",-69.76775,44.30184
230195003,"MILFORD","MILFORD"," ","OLD TOWN FUEL BLDG, COUNTRY RD","I",01/01/1977,," "," ",-68.63825,44.94113
230030011,"MADAWASKA","MADAWASKA"," ","11TH AVE - MADAWASKA","I",01/28/1984,," "," ",-68.31772,47.35349
230194004,"MILFORD","MILFORD"," ","ST. REGIS STUD MILL-COSTIGAN","I",01/01/1979,," "," ",-68.63401,45.01089
230318001,"KENNEBUNKPORT","KENNEBUNKPORT"," ","GOAT IS. LIGHT-CAPE PORPOISE","I",01/01/1982,," "," ",-70.42577,43.3581
230070008,"JAY","JAY"," ","IP - BURNHAM SITE ANDRO MILL JAY","I",01/01/1986,03/31/1993," "," ",-70.23329,44.51068
230190003,"BANGOR","BANGOR"," ","HUMAN SERVICES-117 BROADWAY","I",01/01/1977,," "," ",-68.76833,44.80599
230031003,"MADAWASKA","MADAWASKA"," ","HIGH SCHOOL-ST. THOMAS ST.","I",01/01/1978,," "," ",-68.311,47.35165
230310040,"SHAPLEIGH","SHAPLEIGH","SHAPLEIGH BALL PARK","ROUTE 11","A",06/13/2008,,"O3","WITHIN 5M",-70.87734,43.58889
230070007,"JAY","JAY"," ","WATER TREATMENT PLANT-SITE 2","I",01/01/1982,," "," ",-70.24673,44.50277
230011009,"LEWISTON","LEWISTON"," ","PETTINGILL SCH.-COLLEGE RD.","I",01/01/1978,," "," ",-70.19911,44.11211
230171008,"SOUTH PARIS","SOUTH PARIS"," ","WILNER UPWIND SO PARIS ALPINE ST COOP","I",01/01/1985,," "," ",-70.52807,44.22072
230031017,"HOULTON","HOULTON","HOULTON PIONEER TIMES COURT STREET","HOULTON PIONEER TIMES","I",10/01/1998,," "," ",-67.83975,46.12441
230092002,"DEER ISLE","DEER ISLE"," ","MARSHALL PROPERTY-DEER ISLE","I",06/25/1982,," "," ",-68.58226,44.20157
230050024,"PORTLAND","PORTLAND","MONITOR LOCATED IN PRESS BOX AT DEERING HIGH SCHOOL FOOTBALL FIELD","LELAND STREET, PORTLAND, MAINE","I",01/01/1996,," "," ",-70.30047,43.67185
